"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"249","ARAMBAGH TIMES","WBBEN2001/04158","01-01-2001","Bengali","Fortnightly","KAKALI CHATTERJEE","KAKALI CHATTERJEE","West Bengal","West Bengal","View        registration details for ARAMBAGH TIMES (WBBEN2001/04158)"
"250","ARANYARODAN TIMES","UTTHIN/2018/77776","22-07-2019","Hindi","Weekly","BALVEER PARMAR","BALVEER PARMAR","Uttarakhand","Uttarakhand","View        registration details for ARANYARODAN TIMES (UTTHIN/2018/77776)"
"251","ARASIYAL TIMES","TNTAM/2022/83844","24-04-2023","Tamil","Fortnightly","M. VIJAY","M.VIJAY","Tamil Nadu","Thanjavur","View        registration details for ARASIYAL TIMES (TNTAM/2022/83844)"
"252","ARHAM TIMES","70732","24-02-1999","Hindi","Weekly","ATIQ AHMED","ATIQ AHMED","Madhya Pradesh","Bhopal","View        registration details for ARHAM TIMES (70732)"
"253","ARIF TIMES","UPURD/2014/57318","17-09-2014","Urdu","Daily","SHARMILI KHATOON","SHARMILI KHATOON","Uttar Pradesh","Hardoi","View        registration details for ARIF TIMES (UPURD/2014/57318)"
"254","ARJIT TIMES","UPHIN/2012/48819","22-03-2013","Hindi","Daily","ABHA SINGH","ABHA SINGH","Uttar Pradesh","Lucknow","View        registration details for ARJIT TIMES (UPHIN/2012/48819)"
"255","ARJUN TIMES","MPENG/2013/52937","01-11-2013","English","Daily","HARISH LAMBA","HARISH LAMBA","Madhya Pradesh","Gwalior","View        registration details for ARJUN TIMES (MPENG/2013/52937)"
"256","ARJUN TIMES","DELENG/2013/48759","20-03-2013","English","Daily","ASHWANI KUMAR","HARISH LAMBA","Delhi","New Delhi","View        registration details for ARJUN TIMES (DELENG/2013/48759)"
"257","ARKAN TIMES","GUJGUJ/2019/78863","27-07-2020","Gujarati","Weekly","MANSURI MO. SHAFI ALIBHAI (SHAFI MANSURI)","MANSURI MO. SHAFI ALIBHAI","Gujarat","Sabar Kantha","View        registration details for ARKAN TIMES (GUJGUJ/2019/78863)"
"258","ARMAN TIMES","UTTHIN/2010/44424","01-08-2012","Hindi","Weekly","NAFEES AHMED","NAFEES AHMED","Uttarakhand","Dehradun","View        registration details for ARMAN TIMES (UTTHIN/2010/44424)"
"259","ARNAV TIMES","UTTHIN/2011/38572","18-08-2011","HINDI","Weekly","GAURAV KHANDURI","GAURAV KHANDURI","Uttarakhand","Dehradun","View        registration details for ARNAV TIMES (UTTHIN/2011/38572)"
"260","ARNIT TIMES","UTTHIN/2021/79968","01-07-2021","Hindi","Weekly","MANBEER SINGH NEGI","MANBEER SINGH NEGI","Uttarakhand","Tehri Garhwal","View        registration details for ARNIT TIMES (UTTHIN/2021/79968)"
"261","ARNORA TIMES","JKENG/2019/90156","13-11-2024","ENGLISH","Weekly","SHAKTI KUMARI","SHAKTI KUMARI","","Jammu","View        registration details for ARNORA TIMES (JKENG/2019/90156)"
"262","AROUND THE TIMES","DELENG/2003/09159","04-02-2003","English","Daily","ASHOK BEDI","ASHOK BEDI","Delhi","New Delhi","View        registration details for AROUND THE TIMES (DELENG/2003/09159)"
"263","AROUND THE TIMES","TNENG/2009/27661","04-05-2009","English","Daily","ASHOK BEDI","ASHOK BEDI","Tamil Nadu","Tiruppur","View        registration details for AROUND THE TIMES (TNENG/2009/27661)"
"264","ARPIT TIMES","MPHIN/2014/57485","24-09-2014","Hindi","Weekly","SUDESH RAGHUWANSHI","SUDESH RAGHUWANSHI","Madhya Pradesh","Bhopal","View        registration details for ARPIT TIMES (MPHIN/2014/57485)"
"265","ARPITA TIMES","MPHIN/2014/59812","27-01-2015","Hindi","Monthly","SHUMAYLA AZIZ","SHUMAYLA AZIZ","Madhya Pradesh","Bhopal","View        registration details for ARPITA TIMES (MPHIN/2014/59812)"
"266","ARROW TIMES","TELBIL/2012/50016","28-05-2013","English, Telugu","Monthly","I. VENKATESH GOUD","I. VENKATESH GOUD","Telangana","Rangareddy","View        registration details for ARROW TIMES (TELBIL/2012/50016)"
"267","ARSH TIMES","UPURD/2012/47271","02-01-2013","Urdu","Daily","SYED VIQAR MEHDI RIZVI","SYED VIQAR MEHDI RIZVI","Uttar Pradesh","Lucknow","View        registration details for ARSH TIMES (UPURD/2012/47271)"
"268","ARSHAN TIMES","UPHIN/2012/47756","29-01-2013","Hindi","Monthly","SYED AKHTAR ALI NAQVI","SAKSHI SAXENA","Uttar Pradesh","Lucknow","View        registration details for ARSHAN TIMES (UPHIN/2012/47756)"
"269","ART TIMES","DELBIL/2008/25212","12-08-2008","English, HINDI","Monthly","VIRENDER KUMAR","VIRENDER KUMAR","Delhi","New Delhi","View        registration details for ART TIMES (DELBIL/2008/25212)"
"270","ARTHATANTRA TIMES","MPBIL/2023/87040","26-04-2024","English, HINDI","Daily","SANJAY GUPTA","SANJAY GUPTA","Madhya Pradesh","Indore","View        registration details for ARTHATANTRA TIMES (MPBIL/2023/87040)"
"271","ARTICLE TIMES","UPHIN/2022/83514","06-03-2023","Hindi","Weekly","AYAZ AHMAD","AYAZ AHMAD","Uttar Pradesh","Sitapur","View        registration details for ARTICLE TIMES (UPHIN/2022/83514)"
"272","Aru Om times","UPHIN/25/A5233","17-12-2025","Hindi","Monthly","JIVESH SRIVASTAVA","JIVESH SRIVASTAVA","Uttar Pradesh","Pratapgarh","View        registration details for Aru Om times (UPHIN/25/A5233)"
"273","ARUBA TIMES","MPHIN/2015/64319","14-10-2015","Hindi","Weekly","MOHD. KHALID","MOHD. KHALID","Madhya Pradesh","Bhopal","View        registration details for ARUBA TIMES (MPHIN/2015/64319)"
"274","ARUN INDIA TIMES","RAJHIN/2013/50306","14-06-2013","Hindi","Fortnightly","SUNITA RAJORIA","SUNITA RAJORIA","Rajasthan","Jaipur","View        registration details for ARUN INDIA TIMES (RAJHIN/2013/50306)"
"275","ARUNAI TIMES","TNTAM/25/A1260","13-06-2025","Tamil","Weekly","Selvam S","Selvam S","Tamil Nadu","Tiruvannamalai","View        registration details for ARUNAI TIMES (TNTAM/25/A1260)"
"276","ARUNODAY TIMES","GUJBIL/2016/69325","16-11-2016","English, HINDI","Fortnightly","TARACHAND SHIVBHAGWAN DHAKA","TARACHAND SHIVBHAGWAN DHAKA","Gujarat","Surat","View        registration details for ARUNODAY TIMES (GUJBIL/2016/69325)"
"277","ARVAACHEEN TIMES","UPHIN/2021/83080","16-01-2023","Hindi","Weekly","UMA DEVI","UMA DEVI","Uttar Pradesh","Kanpur Nagar","View        registration details for ARVAACHEEN TIMES (UPHIN/2021/83080)"
"278","ARVAACHEEN TIMES","UPHIN/2023/84600","29-05-2023","Hindi","Daily","UMA DEVI","UMA DEVI","Uttar Pradesh","Kanpur Nagar","View        registration details for ARVAACHEEN TIMES (UPHIN/2023/84600)"
"279","ARVALLI TIMES","54967","29-03-1994","Gujarati","Daily","HARDIK M. DESAI","HARDIK M. DESAI","Gujarat","Gujarat","View        registration details for ARVALLI TIMES (54967)"
"280","ARVALLI TIMES","GUJGUJ/2011/48526","11-03-2013","Gujarati","Daily","HARDIK M. DESAI","HARDIK M. DESAI","Gujarat","Ahmedabad","View        registration details for ARVALLI TIMES (GUJGUJ/2011/48526)"
"281","ARVI TIMES","16735","22-12-1967","Marathi, Hindi","Daily","DR. PRAKASH MOTILALJI RATHI","DR. PRAKASH MOTILALJI RATHI","Maharashtra","Wardha","View        registration details for ARVI TIMES (16735)"
"282","ARVI TIMES","20725","15-11-1970","Marathi, Hindi","Daily","DR. PRAKASH MOTILALJI RATHI","PRAKASH MOTILALJI RATHI","Maharashtra","Nagpur","View        registration details for ARVI TIMES (20725)"
"283","ARYAVART TIMES","APENG/2013/51418","12-08-2013","English","Daily","RACHARLA ARJUN KUMAR","RACHARLA ARJUN KUMAR","Andhra Pradesh","Hyderabad","View        registration details for ARYAVART TIMES (APENG/2013/51418)"
"284","ARYAVART TIMES","GUJGUJ/2014/58002","28-10-2014","Gujarati","Fortnightly","HARISH RANA","HARISH RANA","Gujarat","Gandhinagar","View        registration details for ARYAVART TIMES (GUJGUJ/2014/58002)"
"285","ARYAVART TIMES","62171","20-05-1995","Hindi","Weekly","ASHU KUMAR TIWARI","ASHU KUMAR TIWARI","Uttar Pradesh","Fatehpur","View        registration details for ARYAVART TIMES (62171)"
"286","ARZAAN TIMES","MPHIN/2011/37705","03-06-2011","Hindi","Monthly","ANSAR ALI","ANSAR ALI","Madhya Pradesh","Bhopal","View        registration details for ARZAAN TIMES (MPHIN/2011/37705)"
"287","ASHAWADI TIMES","UPHIN/2013/54080","17-01-2014","Hindi","Weekly","BALVEER SINGH","BALVEER SINGH","Uttar Pradesh","Etawah","View        registration details for ASHAWADI TIMES (UPHIN/2013/54080)"
"288","ASHLESHA TIMES","UPHIN/2012/48441","05-03-2013","Hindi","Weekly","ARTI SINGH","ARTI SINGH","Uttar Pradesh","Lucknow","View        registration details for ASHLESHA TIMES (UPHIN/2012/48441)"
"289","ASHOKA TIMES","DELHIN/2006/17106","19-05-2006","Hindi","Daily","ASHOK KUMAR","ASHOK KUMAR","Delhi","New Delhi","View        registration details for ASHOKA TIMES (DELHIN/2006/17106)"
"290","ASHOKA TIMES","DELHIN/2001/03498","12-02-2001","Hindi","Weekly","ASHOK KUMAR","ASHOK KUMAR","Delhi","New Delhi","View        registration details for ASHOKA TIMES (DELHIN/2001/03498)"
"291","ASHTBHUJA TIMES","MPHIN/2015/67542","17-06-2016","Hindi","Monthly","ARCHANA MISHRA","ARCHANA MISHRA","Madhya Pradesh","Bhopal","View        registration details for ASHTBHUJA TIMES (MPHIN/2015/67542)"
"292","ASHWANI TIMES","HARHIN/2009/28059","16-06-2009","Hindi","Weekly","SUNITA MALHOTRA","SUNITA MALHOTRA","Haryana","Sonipat","View        registration details for ASHWANI TIMES (HARHIN/2009/28059)"
"293","ASHWANI TIMES","64421","06-02-1996","Hindi","Weekly","SUNITA MALHOTRA","SUNITA MALHOTRA","Haryana","Sonipat","View        registration details for ASHWANI TIMES (64421)"
"294","ASIAN TIMES","BIHHIN/1999/00030","03-11-1999","Hindi","Fortnightly","JEBA TASLIM","JEBA TASLIM","Bihar","Patna","View        registration details for ASIAN TIMES (BIHHIN/1999/00030)"
"295","ASMITA TIMES","HARBIL/2017/73920","21-11-2017","English, HINDI","Quarterly","SHAKUN S RAGHUVANSHI","RESOURCE INDIA FOUNDATION","Haryana","Palwal","View        registration details for ASMITA TIMES (HARBIL/2017/73920)"
"296","ASSIGNMENTS ABROAD TIMES","56969","09-02-1993","English","Twice a week","N. R. K. PILLAI","AISHWARYA PUB (P)LTD","Maharashtra","Mumbai","View        registration details for ASSIGNMENTS ABROAD TIMES (56969)"
"297","ASTHA TIMES","MAHMAR/2012/46963","11-12-2012","Marathi","Weekly","CHORMALE VAISHALI KRISHNATH","CHORMALE VAISHALI KRISHANATH","Maharashtra","Satara","View        registration details for ASTHA TIMES (MAHMAR/2012/46963)"
"298","ASTITVA TIMES","UTTHIN/2015/71935","22-05-2017","Hindi","Weekly","M.S.MALIK","M.S.MALIK","Uttarakhand","Dehradun","View        registration details for ASTITVA TIMES (UTTHIN/2015/71935)"
"299","ATIVEER TIMES","DELHIN/2007/22729","25-01-2008","Hindi","Monthly","RAVINDRA KUMAR JAIN PATRAKAR","RAVINDRA KUMAR JAIN PATRAKAR","Delhi","New Delhi","View        registration details for ATIVEER TIMES (DELHIN/2007/22729)"
"300","ATLAST TIMES","MPHIN/2015/62216","27-05-2015","Hindi","Weekly","SOURAVH SAXENA","SOURAVH SAXENA","Madhya Pradesh","Gwalior","View        registration details for ATLAST TIMES (MPHIN/2015/62216)"
"301","ATMA GNANA TIMES","TNBIL/2008/26889","21-01-2009","English, Tamil","Monthly","T.S. NARAYANAN","ATMA GNANA TRUST","Tamil Nadu","Chennai","View        registration details for ATMA GNANA TIMES (TNBIL/2008/26889)"
"302","Atmanirbhar Times","DLBIL/26/A1964","25-03-2026","English, Hindi","Bimonthly (Once in two months)","Omm Srikrushna Ranjan Patra","Omm Srikrushna Ranjan Patra","Delhi","South Delhi","View        registration details for Atmanirbhar Times  (DLBIL/26/A1964)"
"303","ATRESHWAR TIMES","GUJGUJ/2014/59593","15-01-2015","Gujarati","Weekly","KARANSINH HAKUBHA SOLANKI","KARANSINH HAKUBHA SOLANKI","Gujarat","Ahmedabad","View        registration details for ATRESHWAR TIMES (GUJGUJ/2014/59593)"
"304","ATULYA TIMES","UPHIN/2021/80866","10-12-2021","Hindi","Weekly","ANITA TYAGI","ANITA TYAGI","Uttar Pradesh","Meerut","View        registration details for ATULYA TIMES (UPHIN/2021/80866)"
"305","AUDITION TIMES","UPHIN/2008/24519","23-06-2008","Hindi","Daily","MAHESH GUPTA","MAHESH GUPTA","Uttar Pradesh","Lucknow","View        registration details for AUDITION TIMES (UPHIN/2008/24519)"
"306","AURANGABAD TIMES","16872","08-07-1968","Urdu","Daily","MOHAMMED SHOEB KHUSRO MOHAMMED ABDUL AZIZ KHUSRO","RAFIA AZIZ","Maharashtra","Aurangabad","View        registration details for AURANGABAD TIMES (16872)"
"307","AURO TIMES","MPHIN/2014/58257","12-11-2014","Hindi","Quarterly","UMESH TRIVEDI","UMESH TRIVEDI","Madhya Pradesh","Bhopal","View        registration details for AURO TIMES (MPHIN/2014/58257)"
"308","AUTO PETROLEUM TIMES","RAJBIL/2008/24764","09-07-2008","English, HINDI","Fortnightly","AJAY KALLA","AJAY KALLA","Rajasthan","Jodhpur","View        registration details for AUTO PETROLEUM TIMES (RAJBIL/2008/24764)"
"309","AUTO TIMES","MAHMAR/2016/67492","13-06-2016","Marathi","Weekly","SATISH ANAND KARKATE","SATISH ANAND KARKATE","Maharashtra","Mumbai Suburban","View        registration details for AUTO TIMES (MAHMAR/2016/67492)"
"310","AVADH BHARATI TIMES","64389","26-02-1996","Hindi","Weekly","ABRAR HUSSAIN","ABRAR HUSSAIN","Uttar Pradesh","Unnao","View        registration details for AVADH BHARATI TIMES (64389)"
"311","AVADH MORCHA TIMES","61905","08-04-1995","Hindi","Daily","VIDYADEVI GUPTA","VIDYADEVI GUPTA","Uttar Pradesh","Faizabad","View        registration details for AVADH MORCHA TIMES (61905)"
"312","AVADH PUBLIC TIMES","UPHIN/2008/23165","27-02-2008","Hindi","Weekly","IBAD ULLAH KHAN","IBAD ULLAH KHAN","Uttar Pradesh","Lucknow","View        registration details for AVADH PUBLIC TIMES (UPHIN/2008/23165)"
"313","AVADH TIMES","GUJGUJ/2011/38789","05-09-2011","Gujarati","Daily","BHARATKUMAR DEVRAJBHAI CHAUHAN","BHARAT KUMAR DEVRAJBHAI CHAUHAN","Gujarat","Surat","View        registration details for AVADH TIMES (GUJGUJ/2011/38789)"
"314","AVADH TIMES","GUJGUJ/2003/10872","05-07-2003","Gujarati","Daily","BHARAT KUMAR DEVRAJBHAI CHAUHAN","BHARAT KUMAR DEVRAJBHAI CHAUHAN","Gujarat","Gujarat","View        registration details for AVADH TIMES (GUJGUJ/2003/10872)"
"315","AVADH TIMES","70053","02-01-1999","Gujarati","Daily","BHARAT KUMAR DEVRAJBHAI CHAUHAN","BHARAT KUMAR DEVRAJBHAI CHAUHAN","Gujarat","Amreli","View        registration details for AVADH TIMES (70053)"
"316","AVADI TIMES","TNBIL/2012/47620","22-01-2013","English, Tamil","Monthly","M. KATHIRAVEN","VALUE PLUS","Tamil Nadu","Thiruvallur","View        registration details for AVADI TIMES (TNBIL/2012/47620)"
"317","AVAM KA AZAD TIMES","MPHIN/2006/26732","02-01-2009","Hindi","Monthly","SHEIKH ALIM","SHIEKH ALIM","Madhya Pradesh","Indore","View        registration details for AVAM KA AZAD TIMES (MPHIN/2006/26732)"
"318","AVINASH TIMES","MAHMUL/2017/72785","27-07-2017","English, Marathi, Hindi","Daily","AVINASH BABURAO CHIMURKAR","AVINASH BABURAO CHIMURKAR","Maharashtra","Nagpur","View        registration details for AVINASH TIMES (MAHMUL/2017/72785)"
"319","AVIRAL TIMES","UPHIN/2006/18846","15-03-2007","Hindi","Weekly","LUV KALRA","LUV KALRA","Uttar Pradesh","Lucknow","View        registration details for AVIRAL TIMES (UPHIN/2006/18846)"
"320","AVLOKAN TIMES","59727","15-04-1994","Hindi","Weekly","ATISH KUMAR","ATISH KUMAR","Uttar Pradesh","Ghaziabad","View        registration details for AVLOKAN TIMES (59727)"
"321","AWADH CULTURE TIMES","UPHIN/2017/75204","14-05-2018","Hindi","Weekly","SHASHI PANDEY","SHASHI PANDEY","Uttar Pradesh","Lucknow","View        registration details for AWADH CULTURE TIMES (UPHIN/2017/75204)"
"322","AWARE TIMES","UPHIN/2013/49359","26-04-2013","Hindi","Monthly","ASHISH KUMAR PANDEY","ASHISH KUMAR PANDEY","Uttar Pradesh","Gorakhpur","View        registration details for AWARE TIMES (UPHIN/2013/49359)"
"323","AWAZ E HIND TIMES","DELHIN/2015/60333","19-02-2015","Hindi","Weekly","SHIV MOHAN","SHIV MOHAN","Delhi","New Delhi","View        registration details for AWAZ E HIND TIMES (DELHIN/2015/60333)"
"324","AWTAR TIMES","GUJHIN/2022/83093","13-01-2023","Hindi","Weekly","AMARJEET RAJENDRA PRASHAD NISHAD","AMARJEET RAJENDRA PRASHAD NISHAD","Gujarat","Surat","View        registration details for AWTAR TIMES (GUJHIN/2022/83093)"
"325","AYANAMBAKKAM TIMES","TNBIL/25/A1019","04-06-2025","English, Tamil","Weekly","Nitin Rodrigo","Nitin Rodrigo","Tamil Nadu","Chennai","View        registration details for AYANAMBAKKAM TIMES (TNBIL/25/A1019)"
"326","AYAPAKKAM TIMES","TNBIL/2015/61798","06-05-2015","English, Tamil","Monthly","M.KATHIRAVEN","VALUE PLUS","Tamil Nadu","Thiruvallur","View        registration details for AYAPAKKAM TIMES (TNBIL/2015/61798)"
"327","AYESHA TIMES","MPHIN/2019/77467","03-06-2019","Hindi","Monthly","SANA","SANA","Madhya Pradesh","Bhopal","View        registration details for AYESHA TIMES (MPHIN/2019/77467)"
"328","AYESHA TIMES","MPHIN/2022/85142","04-07-2023","Hindi","Quarterly","SANA","SANA","Madhya Pradesh","Bhopal","View        registration details for AYESHA TIMES (MPHIN/2022/85142)"
"329","AYODHYA TIMES","DLHIN/26/A1154","17-02-2026","Hindi","Daily","Brajesh Kumar Mourya","Brajesh Kumar Mourya","Delhi","New Delhi","View        registration details for AYODHYA TIMES (DLHIN/26/A1154)"
"330","AYODHYA TIMES","UPHIN/2015/67284","02-06-2016","HINDI","Daily","BRAJESH KUMAR MOURYA","BRAJESH KUMAR MOURYA","Uttar Pradesh","","View        registration details for AYODHYA TIMES (UPHIN/2015/67284)"
"331","AYODHYA TIMES","UPHIN/25/A2014","31-07-2025","HINDI","Daily","Brajesh Kumar Mourya","Brajesh Kumar Mourya","Uttar Pradesh","Lucknow","View        registration details for AYODHYA TIMES (UPHIN/25/A2014)"
"332","AYODHYA TIMES","BHHIN/26/A0625","21-01-2026","Hindi","Daily","Brajesh Kumar Mourya","Brajesh Kumar Mourya","Bihar","East Champaran","View        registration details for AYODHYA TIMES (BHHIN/26/A0625)"
"333","AZAD SHKYA TIMES","62725","18-02-1994","Hindi","Weekly","ANJUM RIZVI","ANJUM RIZVI","Uttar Pradesh","Lucknow","View        registration details for AZAD SHKYA TIMES (62725)"
"334","AZAD TIMES","JKURD/2011/41195","19-03-2012","Urdu","Daily","ZAHOOR AHMAD BHAT","ZAHOOR AHMAD BHAT","Jammu and Kashmir","Srinagar","View        registration details for AZAD TIMES (JKURD/2011/41195)"
"335","AZAMGARH TIMES","UPURD/2014/60166","10-02-2015","Urdu","Daily","RAVIKANT MISHRA","RAVI KANT MISHRA","Uttar Pradesh","Azamgarh","View        registration details for AZAMGARH TIMES (UPURD/2014/60166)"
"336","AZIMABAD TIMES","33491","14-07-1979","Urdu","Weekly","Z.A. NOMANI","Z A NOMANI & SYED MOHD ASIF","Bihar","Patna","View        registration details for AZIMABAD TIMES (33491)"
"337","B.P.N. TIMES","RAJHIN/2010/35578","03-02-2011","Hindi","Daily","B.S. BAGHEL","B.S. BAGHEL","Rajasthan","Dhaulpur","View        registration details for B.P.N. TIMES (RAJHIN/2010/35578)"
"338","B.R. TIMES","67063","08-07-1997","Hindi","Weekly","BALRAM DIXIT","BALRAM DIXIT","Uttar Pradesh","Prayagraj","View        registration details for B.R. TIMES (67063)"
"339","BABANE TIMES","MPHIN/2016/69184","09-11-2016","Hindi","Monthly","DHANESH BAWNE","DHANESH BAWNE","Madhya Pradesh","Bhopal","View        registration details for BABANE TIMES (MPHIN/2016/69184)"
"340","BABY MARTIN TIMES","UPENG/2016/70932","21-03-2017","English","Weekly","DR. R. K. RAJU","DR.R.K.RAJU","Uttar Pradesh","Lucknow","View        registration details for BABY MARTIN TIMES (UPENG/2016/70932)"
"341","BABYIAN TIMES","HARHIN/2003/08996","13-01-2003","Hindi","Daily","MANJU GUPTA","MANJU GUPTA","Haryana","Rohtak","View        registration details for BABYIAN TIMES (HARHIN/2003/08996)"
"342","BABYIAN TIMES","DELHIN/2004/20650","27-07-2007","Hindi","Daily","MANJU GUPTA","MANJU GUPTA","Delhi","New Delhi","View        registration details for BABYIAN TIMES (DELHIN/2004/20650)"
"343","BACHPAN TIMES","MPHIN/2017/71736","08-05-2017","Hindi","Weekly","SRISHTI SHARMA","SRISHTI SHARMA","Madhya Pradesh","Bhopal","View        registration details for BACHPAN TIMES (MPHIN/2017/71736)"
"344","BADAUN TIMES","UPHIN/2007/20437","12-07-2007","Hindi","Daily","OM PRAKASH MAURYA","OM PRAKASH MAURYA","Uttar Pradesh","Uttar Pradesh","View        registration details for BADAUN TIMES (UPHIN/2007/20437)"
"345","BADIYAR TIMES","UTTHIN/2012/44653","09-08-2012","Hindi","Weekly","DELIP SINGH PAWAR","DELIP SINGH PAWAR","Uttarakhand","Dehradun","View        registration details for BADIYAR TIMES (UTTHIN/2012/44653)"
"346","BADLAPUR TIMES","MAHMAR/2010/36699","08-04-2011","Marathi","Weekly","SAGAR SUBHASH KADAM","SAGAR SUBHASH KADAM","Maharashtra","Thane","View        registration details for BADLAPUR TIMES (MAHMAR/2010/36699)"
"347","BADNERA TIMES","MAHHIN/2018/77865","19-08-2019","Hindi","Weekly","MOHD. SHOEBUDDIN","MOHAMMAD SHOEBUDDIN","Maharashtra","Amravati","View        registration details for BADNERA TIMES (MAHHIN/2018/77865)"
"348","BADRINATH TIMES","UTTHIN/2011/42594","25-05-2012","Hindi","Weekly","PANKAJ BHANDARI","PANKAJ BHANDARI","Uttarakhand","Dehradun","View        registration details for BADRINATH TIMES (UTTHIN/2011/42594)"
"349","BADRINATH TIMES","UTTHIN/2015/65103","03-12-2015","Hindi","Monthly","PANKAJ BHANDARI","PANKAJ BHANDARI","Uttarakhand","Dehradun","View        registration details for BADRINATH TIMES (UTTHIN/2015/65103)"
"350","BADSHAH NAUKARI TIMES","MAHMAR/2011/39921","08-12-2011","Marathi","Weekly","IMRAN YAKUB PINJARI","IMRAN YAKUB PINJARI","Maharashtra","Nandurbar","View        registration details for BADSHAH NAUKARI TIMES (MAHMAR/2011/39921)"
"351","BAGARA TIMES NEWS","RAJHIN/2017/74312","28-12-2017","Hindi","Weekly","GOPAL LAL SHARMA","GOPAL LAL SHARMA","Rajasthan","Jaipur","View        registration details for BAGARA TIMES NEWS (RAJHIN/2017/74312)"
"352","BAGBAN TIMES","MAHHIN/2005/19285","18-04-2007","Hindi","Fortnightly","INAMDAR SAYYED GUFRAN","INAMDAR SAYYED GUFRAN","Maharashtra","Solapur","View        registration details for BAGBAN TIMES (MAHHIN/2005/19285)"
"353","BAGRU TIMES","RAJHIN/2014/57364","18-09-2014","Hindi","Fortnightly","TARACHAND KUMAWAT","TARACHAND KUMAWAT","Rajasthan","Jaipur","View        registration details for BAGRU TIMES (RAJHIN/2014/57364)"
"354","BAHU TIMES","JKBIL/1995/04387","01-02-1999","English, Urdu","Weekly","JAMSHED AKHTAR","JAMSHED AKHTAR","Jammu and Kashmir","Jammu","View        registration details for BAHU TIMES (JKBIL/1995/04387)"
"355","BAHUBALI TIMES","JKHIN/2012/42742","01-06-2012","Hindi","Weekly","SANJEEV MAHAJAN","SANJEEV MAHAJAN","Jammu and Kashmir","Jammu","View        registration details for BAHUBALI TIMES (JKHIN/2012/42742)"
"356","BAIJNATH TIMES","MPHIN/2015/70801","14-03-2017","Hindi","Monthly","ANKIT SAHU","ANKIT SAHU","Madhya Pradesh","Ujjain","View        registration details for BAIJNATH TIMES (MPHIN/2015/70801)"
"357","BAIRAGAD TIMES","MPHIN/2016/70795","10-03-2017","Hindi","Weekly","GOVIND AGARWAL","GOVIND AGARWAL","Madhya Pradesh","Bhopal","View        registration details for BAIRAGAD TIMES (MPHIN/2016/70795)"
"358","BAJRANG TIMES","47718","03-01-1989","Hindi","Weekly","MAHESH SHARMA","MAHESH SHARMA","Madhya Pradesh","Indore","View        registration details for BAJRANG TIMES (47718)"
"359","BAKSHI TIMES","UPHIN/2017/73808","14-11-2017","Hindi","Weekly","ANAM RASHEED","ANAM RASHEED","Uttar Pradesh","Kanpur Nagar","View        registration details for BAKSHI TIMES (UPHIN/2017/73808)"
"360","BAKSHI TIMES","UPHIN/2015/63643","06-08-2015","Hindi","Daily","ANAM RASHEED","ANAM RASHEED","Uttar Pradesh","Kanpur Nagar","View        registration details for BAKSHI TIMES (UPHIN/2015/63643)"
"361","BALAJI TIMES","RAJHIN/2007/22735","25-01-2008","Hindi","Weekly","BHANWAR SINGH KUSHWAH","BHANWARSINGH KUSHWAH","Rajasthan","Jhalawar","View        registration details for BALAJI TIMES (RAJHIN/2007/22735)"
"362","BALANCE TIMES","MPHIN/2016/68507","31-08-2016","Hindi","Monthly","PUNAM KHUSHWAHA","PUNAM KHUSHWAHA","Madhya Pradesh","Bhopal","View        registration details for BALANCE TIMES (MPHIN/2016/68507)"
"363","BALANCE TIMES","MPHIN/25/A1070","05-06-2025","Hindi","Quarterly","PUNAM KUSHWAHA","PUNAM KUSHWAHA","Madhya Pradesh","Bhopal","View        registration details for BALANCE TIMES (MPHIN/25/A1070)"
"364","BALBHADRA TIMES","MPHIN/2016/68887","05-10-2016","Hindi","Monthly","BALBHADRA MISHRA","BALBHADRA MISHRA","Madhya Pradesh","Bhopal","View        registration details for BALBHADRA TIMES (MPHIN/2016/68887)"
"365","BALLARPUR TIMES","24080","10-10-1973","Hindi","Weekly","KALPANA PRADEEP RAO","KALPANA PRADEEPRAO PALIKUNDWAR","Maharashtra","Chandrapur","View        registration details for BALLARPUR TIMES (24080)"
"366","BALLIA TIMES","20235","14-06-1968","Hindi","Weekly","BACHCHA SINGH","BACHCHA SINGH","Uttar Pradesh","Ballia","View        registration details for BALLIA TIMES (20235)"
"367","BALOD TIMES","CTHIN/25/A4359","27-11-2025","Hindi","Monthly","SUPREET SHARMA","SUPREET SHARMA","Chhattisgarh","Balod","View        registration details for BALOD TIMES (CTHIN/25/A4359)"
"368","BALRANG TIMES","RAJHIN/2020/78919","26-08-2020","Hindi","Fortnightly","RAMESH CHANDRA PUROHIT","RAMESH CHANDRA PUROHIT","Rajasthan","Jaipur","View        registration details for BALRANG TIMES (RAJHIN/2020/78919)"
"369","BALWAS TIMES","MPHIN/2013/53462","10-12-2013","Hindi","Daily","SAIYYAD ASHIM ALI","M/S. BALWAS TIMES AND PRINT MEDIA PVT. LTD.","Madhya Pradesh","Bhopal","View        registration details for BALWAS TIMES (MPHIN/2013/53462)"
"370","BALWAS TIMES","MPHIN/2011/43167","20-06-2012","Hindi","Daily","ASHFAK KHAN","M/S. BALWAS TIMES AND PRINT MEDIA PVT. LTD.","Madhya Pradesh","Indore","View        registration details for BALWAS TIMES (MPHIN/2011/43167)"
